Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
World,WLD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,49.386911202714,49.8015565650654,50.3645029255777,50.8127349472587,51.5619092301428,52.3015995271876,53.0287739775725,61.6980981442135,62.9763459113715,64.2084464173381,65.6789211457952,67.0510549892321,68.3587758766613,69.5701114809215,..,..
World,WLD,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,24.3523850006051,24.5477056910194,24.6979554495183,25.005293157385,25.3518424688154,25.9044956403577,26.4132013446689,35.8654582173865,37.6866461365411,39.6316898239273,41.6962810002266,44.0341313499996,46.156712802845,48.4595119926932,..,..
World,WLD,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,76.1588443512886,76.3893049278698,76.6518095370916,76.9679406681609,77.3567549600306,77.730361899899,78.2346983454508,83.4844522919722,84.0648312379326,84.6501468741832,85.0985359348072,85.6108083503657,86.021572757083,86.3919803141058,..,..
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,78.1798986419251,77.8317161074376,79.2821473286737,79.8711372989495,80.0792478091506,80.5710438126695,81.2793037809783,85.5476862244181,86.5258006896778,87.6062268251272,88.504096925462,89.4789021234741,89.9263306890669,90.435576612831,..,..
World,WLD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,66.1790409778153,66.207592779247,68.6156546072998,67.3450509026999,66.9151201015682,67.8197682703437,68.6961267273767,74.5764073863398,75.6322264932628,77.9395207331354,81.288937787253,83.1083176039613,84.13856429263,82.5443798777831,..,..
World,WLD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.9383197309416,94.6499190070599,94.969002885813,95.1350540490652,95.1076128088269,95.2716956655281,95.5016117125075,96.3447485645493,96.2524228904449,96.7442933659494,97.2629707759984,97.3941115101058,97.6176052335493,97.2352398533877,..,..
World,WLD,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,61.92,..,..,68.5,..,..,..,76.2,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,..,..,58.4,..,..,64.85,..,..,..,73.99,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..,..,..,65.49,..,..,72.24,..,..,..,78.35,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..,..,..,66.12,..,..,71.91,..,..,..,79.07,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..,..,..,..,..,..,..,54.62,..,..,60.89,..,..,..,71.91,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..,..,..,..,..,..,..,48.4,..,..,56.34,..,..,..,66.01,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..,..,..,..,..,..,..,66.86,..,..,73.73,..,..,..,79.05,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..,..,..,..,..,..,..,73.22,..,..,78.6,..,..,..,84.62,..
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..,..,..,..,..,..,..,46.9,..,..,56.3,..,..,..,65.52,..
World,WLD,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,90.44798,90.30999,90.5136,90.48209,90.45493,..,..,..,..
World,WLD,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,89.76395,89.5167,89.63329,89.56732,89.45854,..,..,..,..
World,WLD,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,91.19433,91.15254,91.41351,91.40409,91.46353,..,..,..,..
World,WLD,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.57730773260701,1.84290862736327,4.08356279199809,1.34112699362142,5.50188485032177,3.84830321448599,5.17645177860425,3.26534551681496,3.31440486873376,2.5977424305121,3.61177142578708,2.30867581127076,2.50513686608495,-4.26269672960188,..,..
World,WLD,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,44437124597585,45256060200546.1,47104119836019.9,47735845902248.5,50362217176117.3,52300307998592.2,55007608222200.8,59768868650055.5,61749850942580.1,63353953021293.4,65642152993623.1,67157617501784.2,68840007736205.7,65905566977776.8,..,..
World,WLD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,28052166386128.1,27922357816076.6,28956739979765.5,32408954619823.3,36549981826600,39445751259769.8,42901257046696.8,65071071538938.7,61631628380470.5,62596688007477.5,66692896504048.9,70284831261590.6,71213354902445.1,68580436251713.7,76892463673445,..
World,WLD,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.19431033850302,0.501376641693412,2.7346345530199,0.0517878067899176,4.17410396353537,2.55268197190377,3.87082337481419,2.0189063877483,2.09495738222923,1.40600931073745,2.43288729132787,1.1921043471927,1.43403007622773,-5.2211687028158,..,..
World,WLD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,7232.22506189034,7268.48574902535,7467.25227179953,7471.11939797856,7782.97168889005,7981.64620407072,8290.60163103286,8167.92581567487,8339.04038052536,8456.2880647017,8662.0200223459,8765.28033958699,8890.97709592234,8426.76418241553,..,..
World,WLD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4565.54249662453,4484.55431086975,4590.4112665845,5072.31337272612,5648.4303062172,6019.88865567931,6465.96431184504,8892.51707587792,8323.07495381951,8355.21069237112,8800.67423934793,9173.43813770705,9197.50488389946,8768.77614929316,9747.52535450025,..
World,WLD,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,10.1319861861195,9.2883038759397,8.84859585975685,8.87950605115609,9.69929492497294,9.86942253269727,10.9981843680685,10.6918313072347,10.7273446521197,10.3121842870892,11.086789803062,10.83034447757,10.5340929567926,9.54077852011365,9.8263178493087,..
World,WLD,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,9.87686277003169,9.03846204267716,8.6034201662385,8.64526027265243,9.47347596860348,9.64125532131101,10.7669042055508,10.4430719870104,10.4735886460938,10.0638297374745,10.8428937696429,10.5907060531755,10.2937634912764,9.28885375443439,9.58372053632605,..
World,WLD,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1.28061398847662,1.3687298930452,1.39184979385877,1.3556891587256,1.31919190163232,1.33181750753955,1.33079101456842,1.39194892676542,1.51452732788463,1.54212644221687,1.52904991989789,1.54468664418884,1.5883875012491,1.61061549256563,1.55287600193328,..
World,WLD,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,15.6563359318527,15.8051072584403,15.8619391591647,15.8170493753825,15.627068437214,15.5316822250737,15.4055651390212,17.1617603526369,17.3751361015691,17.4218600952167,17.2976164456744,17.5478595434404,17.797244456988,18.8990118450501,18.7499679506815,..
World,WLD,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.03788541683605,4.16159196696251,4.19717020944476,4.29358104870551,4.18493433218859,4.10735856816009,4.1428666668339,4.27573792445013,3.9678441841372,3.91421337209259,3.94720247427054,3.86364884003613,3.86519662884317,3.83313976161423,3.79964897315212,..
World,WLD,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1.09967980092788,0.912716132901462,0.815376473551459,0.971334322590793,1.19466882859,1.56800982849079,1.56057800147792,1.26547743172875,0.636823440089752,0.530751257192832,0.69187040795685,0.98381213816735,0.841745745640762,0.469411127762548,0.994237295145419,..
World,WLD,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,24.2218331759423,23.2885526718717,22.8025567980576,22.8279736922367,23.7642566693139,24.343804926663,25.404562359568,26.4541479645198,26.4517285027461,26.0737217584628,26.8471030259704,27.2216484682022,27.059559742312,26.8840414389141,27.795944185053,..
World,WLD,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0395743319634621,0.0300942456158641,0.0331660569881045,0.0342084801213021,0.0621399334701363,0.101629720877396,0.202574981634064,0.150453439092593,0.0953181704552204,0.1085869246369,0.120075232513764,0.128547988059826,0.113680484601366,0.138529041240275,0.416824948489106,..
World,WLD,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1.20721058345654,1.00101305823791,0.908232324574582,1.08167108253743,1.31702718583684,1.73518685913604,1.82807744443723,1.49823735973354,0.810326441925731,0.719130498778104,0.89000126053998,1.17786698519236,1.03476836682153,0.687321366542261,1.51566961442211,..
